OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: E7-D7; OM: E2-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: E7-F7; OM: B2-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: F7-F6; OM: G2-H4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: F7-E7; OM: B1-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: F7-G7; OM: B2-A2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: G7-G6; OM: D2-D3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: G7-F7; OM: D1-E1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: G7-H7; OM: D2-D3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: B8-B7; OM: F4-F5;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: B8-C8; OM: B2-A2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: C8-C7; OM: D1-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: C8-B8; OM: D2-D3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: C8-D8; OM: G2-F4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: D8-D7; OM: D2-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: D8-C8; OM: B1-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: D8-E8; OM: B2-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: E8-E7; OM: E2-F2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: E8-D8; OM: B2-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: E8-F8; OM: G2-H4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: F8-F7; OM: E2-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: F8-E8; OM: D1-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: F8-G8; OM: G2-F4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: G8-G7; OM: C1-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-B7; OM: G1-G2; EM: G8-F8; OM: E1-D1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: B6-B5; OM: B2-B3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: B6-A6; OM: D1-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: B6-C6; OM: D1-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: D7-C5; OM: E2-F2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: D7-E5; OM: F4-F5;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: D7-B6; OM: F4-F5;
